questionBankId,title,questionType,difficulty,text,options,correctAnswer,blanks,pairs,explanation,hint,tolerance,unit,bloomsLevel,learningOutcomeIds,subjectId,topicId,gradeLevel,year,createdById,partitionKey
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 1","TRUE_FALSE","EASY","Based on the learning outcome ""Students will compare apply problem-solving and decision-making skills related to Introduction."" in Introduction, the following statement about Introduction is accurate: ""Introduction concepts are fundamental to understanding this subject.""","","true","","","This question assesses UNDERSTAND level understanding of Introduction.","","","","UNDERSTAND","cmf9r9wa00093qjr8qpj4tw5y","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 2","MATCHING","EASY","Based on the learning outcome ""Students will compare apply problem-solving and decision-making skills related to Introduction."" in Introduction, match the following items related to Introduction.","","","","[{""id"":""pair-1"",""left"":""Concept 1 in Introduction"",""right"":""Definition 1 for Introduction""},{""id"":""pair-2"",""left"":""Concept 2 in Introduction"",""right"":""Definition 2 for Introduction""}]","This question assesses UNDERSTAND level understanding of Introduction.","","","","UNDERSTAND","cmf9r9wa00093qjr8qpj4tw5y","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 3","MATCHING","EASY","Based on the learning outcome ""Students will compare apply problem-solving and decision-making skills related to Introduction."" in Introduction, match the following items related to Introduction.","","","","[{""id"":""pair-1"",""left"":""Concept 1 in Introduction"",""right"":""Definition 1 for Introduction""},{""id"":""pair-2"",""left"":""Concept 2 in Introduction"",""right"":""Definition 2 for Introduction""}]","This question assesses UNDERSTAND level understanding of Introduction.","","","","UNDERSTAND","cmf9r9wa00093qjr8qpj4tw5y","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 4","TRUE_FALSE","EASY","Based on the learning outcome ""Students will compare apply problem-solving and decision-making skills related to Introduction."" in Introduction, the following statement about Introduction is accurate: ""Introduction concepts are fundamental to understanding this subject.""","","false","","","This question assesses UNDERSTAND level understanding of Introduction.","","","","UNDERSTAND","cmf9r9wa00093qjr8qpj4tw5y","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 5","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will compare apply problem-solving and decision-making skills related to Introduction."" in Introduction, which of the following best demonstrates understanding of Introduction?","[{""text"":""Correct answer related to Introduction"",""isCorrect"":true},{""text"":""Distractor option 1 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 2 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 3 for Introduction"",""isCorrect"":false}]","","","","This question assesses UNDERSTAND level understanding of Introduction.","","","","UNDERSTAND","cmf9r9wa00093qjr8qpj4tw5y","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 6","MULTIPLE_CHOICE","MEDIUM","Based on the learning outcome ""Students will demonstrate analyze social and emotional situations related to Introduction."" in Introduction, which of the following best demonstrates understanding of Introduction?","[{""text"":""Correct answer related to Introduction"",""isCorrect"":true},{""text"":""Distractor option 1 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 2 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 3 for Introduction"",""isCorrect"":false}]","","","","This question assesses APPLY level understanding of Introduction.","","","","APPLY","cmf9r9wr80095qjr8rm5v2k5h","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 7","SHORT_ANSWER","MEDIUM","Based on the learning outcome ""Students will demonstrate analyze social and emotional situations related to Introduction."" in Introduction, explain the key concepts of Introduction in 2-3 sentences.","","","","","This question assesses APPLY level understanding of Introduction.","Consider the main principles and applications of Introduction.","","","APPLY","cmf9r9wr80095qjr8rm5v2k5h","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 8","MULTIPLE_CHOICE","MEDIUM","Based on the learning outcome ""Students will demonstrate analyze social and emotional situations related to Introduction."" in Introduction, which of the following best demonstrates understanding of Introduction?","[{""text"":""Correct answer related to Introduction"",""isCorrect"":true},{""text"":""Distractor option 1 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 2 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 3 for Introduction"",""isCorrect"":false}]","","","","This question assesses APPLY level understanding of Introduction.","","","","APPLY","cmf9r9wr80095qjr8rm5v2k5h","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 9","NUMERIC","MEDIUM","Based on the learning outcome ""Students will demonstrate analyze social and emotional situations related to Introduction."" in Introduction, calculate the result for this Introduction problem. If the value is 19, what is the result when reduced by 5?","","14","","","This question assesses APPLY level understanding of Introduction.","","0.1","units","APPLY","cmf9r9wr80095qjr8rm5v2k5h","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
"cmf709kvl00011181nki5cn5o","Life & Learning Skills (Y7) - Introduction - Question 10","MULTIPLE_RESPONSE","MEDIUM","Based on the learning outcome ""Students will demonstrate analyze social and emotional situations related to Introduction."" in Introduction, select all correct answers about Introduction.","[{""text"":""Correct statement 1 about Introduction"",""isCorrect"":true},{""text"":""Correct statement 2 about Introduction"",""isCorrect"":true},{""text"":""Incorrect statement 1 about Introduction"",""isCorrect"":false},{""text"":""Incorrect statement 2 about Introduction"",""isCorrect"":false}]","","","","This question assesses APPLY level understanding of Introduction.","","","","APPLY","cmf9r9wr80095qjr8rm5v2k5h","cmesxd57p001btxcfroqm8lsp","cmev1pti0000j6vwi9obdyuhp","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-LL_2025"
