questionBankId,title,questionType,difficulty,text,options,correctAnswer,blanks,pairs,explanation,hint,tolerance,unit,bloomsLevel,learningOutcomeIds,subjectId,topicId,gradeLevel,year,createdById,partitionKey
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking: Unit 1 - Question 1","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will describe solve mathematical problems using appropriate methods and strategies related to Mathematics & Logical Thinking: Unit 1."" in Mathematics & Logical Thinking: Unit 1, which of the following best demonstrates understanding of Mathematics & Logical Thinking: Unit 1?","[{""text"":""Correct answer related to Mathematics & Logical Thinking: Unit 1"",""isCorrect"":true},{""text"":""Distractor option 1 for Mathematics & Logical Thinking: Unit 1"",""isCorrect"":false},{""text"":""Distractor option 2 for Mathematics & Logical Thinking: Unit 1"",""isCorrect"":false},{""text"":""Distractor option 3 for Mathematics & Logical Thinking: Unit 1"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Mathematics & Logical Thinking: Unit 1.","","","","REMEMBER","cmf9r82860001qjr8ckrzxn2n","cmesxd4xv0015txcftf28dq2r","cmeuyq4r300bb13isquo8b76f","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking: Unit 1 - Question 2","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will illustrate understand mathematical concepts and their relationships related to Mathematics & Logical Thinking: Unit 1."" in Mathematics & Logical Thinking: Unit 1, which of the following best demonstrates understanding of Mathematics & Logical Thinking: Unit 1?","[{""text"":""Correct answer related to Mathematics & Logical Thinking: Unit 1"",""isCorrect"":true},{""text"":""Distractor option 1 for Mathematics & Logical Thinking: Unit 1"",""isCorrect"":false},{""text"":""Distractor option 2 for Mathematics & Logical Thinking: Unit 1"",""isCorrect"":false},{""text"":""Distractor option 3 for Mathematics & Logical Thinking: Unit 1"",""isCorrect"":false}]","","","","This question assesses UNDERSTAND level understanding of Mathematics & Logical Thinking: Unit 1.","","","","UNDERSTAND","cmf9r82vn0003qjr8751x23dc","cmesxd4xv0015txcftf28dq2r","cmeuyq4r300bb13isquo8b76f","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking: Unit 1 - Question 3","MULTIPLE_CHOICE","MEDIUM","Based on the learning outcome ""Students will implement apply mathematical knowledge to real-world situations related to Mathematics & Logical Thinking: Unit 1."" in Mathematics & Logical Thinking: Unit 1, which of the following best demonstrates understanding of Mathematics & Logical Thinking: Unit 1?","[{""text"":""Correct answer related to Mathematics & Logical Thinking: Unit 1"",""isCorrect"":true},{""text"":""Distractor option 1 for Mathematics & Logical Thinking: Unit 1"",""isCorrect"":false},{""text"":""Distractor option 2 for Mathematics & Logical Thinking: Unit 1"",""isCorrect"":false},{""text"":""Distractor option 3 for Mathematics & Logical Thinking: Unit 1"",""isCorrect"":false}]","","","","This question assesses APPLY level understanding of Mathematics & Logical Thinking: Unit 1.","","","","APPLY","cmf9r83e10005qjr8idonul7y","cmesxd4xv0015txcftf28dq2r","cmeuyq4r300bb13isquo8b76f","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking: Unit 1 - Question 4","SHORT_ANSWER","MEDIUM","Based on the learning outcome ""Students will organize analyze mathematical patterns and structures related to Mathematics & Logical Thinking: Unit 1."" in Mathematics & Logical Thinking: Unit 1, explain the key concepts of Mathematics & Logical Thinking: Unit 1 in 2-3 sentences.","","","","","This question assesses ANALYZE level understanding of Mathematics & Logical Thinking: Unit 1.","Consider the main principles and applications of Mathematics & Logical Thinking: Unit 1.","","","ANALYZE","cmf9r83wa0007qjr8yarrhzmd","cmesxd4xv0015txcftf28dq2r","cmeuyq4r300bb13isquo8b76f","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking: Unit 1 - Question 5","ESSAY","HARD","Based on the learning outcome ""Students will recommend evaluate mathematical solutions and reasoning related to Mathematics & Logical Thinking: Unit 1."" in Mathematics & Logical Thinking: Unit 1, analyze and evaluate the concepts in Mathematics & Logical Thinking: Unit 1. Provide a comprehensive discussion with examples.","","","","","This question assesses EVALUATE level understanding of Mathematics & Logical Thinking: Unit 1.","Structure your response with introduction, analysis, examples, and conclusion.","","","EVALUATE","cmf9r84p10009qjr8hwu47j6x","cmesxd4xv0015txcftf28dq2r","cmeuyq4r300bb13isquo8b76f","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking: Unit 1 - Question 6","ESSAY","HARD","Based on the learning outcome ""Students will synthesize create mathematical models and representations related to Mathematics & Logical Thinking: Unit 1."" in Mathematics & Logical Thinking: Unit 1, analyze and evaluate the concepts in Mathematics & Logical Thinking: Unit 1. Provide a comprehensive discussion with examples.","","","","","This question assesses CREATE level understanding of Mathematics & Logical Thinking: Unit 1.","Structure your response with introduction, analysis, examples, and conclusion.","","","CREATE","cmf9r84wy000bqjr8ds1mk7rp","cmesxd4xv0015txcftf28dq2r","cmeuyq4r300bb13isquo8b76f","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking Topic 1.1 - Question 7","TRUE_FALSE","EASY","Based on the learning outcome ""Students will list solve mathematical problems using appropriate methods and strategies related to Mathematics & Logical Thinking Topic 1.1."" in Mathematics & Logical Thinking Topic 1.1, the following statement about Mathematics & Logical Thinking Topic 1.1 is accurate: ""Mathematics & Logical Thinking Topic 1.1 concepts are fundamental to understanding this subject.""","","true","","","This question assesses REMEMBER level understanding of Mathematics & Logical Thinking Topic 1.1.","","","","REMEMBER","cmf9r854x000dqjr8wfyl3dov","cmesxd4xv0015txcftf28dq2r","cmeuyq4x600bd13isf7pi5psz","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking Topic 1.1 - Question 8","MATCHING","EASY","Based on the learning outcome ""Students will translate understand mathematical concepts and their relationships related to Mathematics & Logical Thinking Topic 1.1."" in Mathematics & Logical Thinking Topic 1.1, match the following items related to Mathematics & Logical Thinking Topic 1.1.","","","","[{""id"":""pair-1"",""left"":""Concept 1 in Mathematics & Logical Thinking Topic 1.1"",""right"":""Definition 1 for Mathematics & Logical Thinking Topic 1.1""},{""id"":""pair-2"",""left"":""Concept 2 in Mathematics & Logical Thinking Topic 1.1"",""right"":""Definition 2 for Mathematics & Logical Thinking Topic 1.1""}]","This question assesses UNDERSTAND level understanding of Mathematics & Logical Thinking Topic 1.1.","","","","UNDERSTAND","cmf9r85cr000fqjr8tii00u48","cmesxd4xv0015txcftf28dq2r","cmeuyq4x600bd13isf7pi5psz","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking Topic 1.1 - Question 9","MULTIPLE_RESPONSE","MEDIUM","Based on the learning outcome ""Students will complete apply mathematical knowledge to real-world situations related to Mathematics & Logical Thinking Topic 1.1."" in Mathematics & Logical Thinking Topic 1.1, select all correct answers about Mathematics & Logical Thinking Topic 1.1.","[{""text"":""Correct statement 1 about Mathematics & Logical Thinking Topic 1.1"",""isCorrect"":true},{""text"":""Correct statement 2 about Mathematics & Logical Thinking Topic 1.1"",""isCorrect"":true},{""text"":""Incorrect statement 1 about Mathematics & Logical Thinking Topic 1.1"",""isCorrect"":false},{""text"":""Incorrect statement 2 about Mathematics & Logical Thinking Topic 1.1"",""isCorrect"":false}]","","","","This question assesses APPLY level understanding of Mathematics & Logical Thinking Topic 1.1.","","","","APPLY","cmf9r862k000hqjr8ndyh6rre","cmesxd4xv0015txcftf28dq2r","cmeuyq4x600bd13isf7pi5psz","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
"cmf709kvl00011181nki5cn5o","Mathematics & Logical Thinking (Y7) - Mathematics & Logical Thinking Topic 1.1 - Question 10","MULTIPLE_CHOICE","MEDIUM","Based on the learning outcome ""Students will categorize analyze mathematical patterns and structures related to Mathematics & Logical Thinking Topic 1.1."" in Mathematics & Logical Thinking Topic 1.1, which of the following best demonstrates understanding of Mathematics & Logical Thinking Topic 1.1?","[{""text"":""Correct answer related to Mathematics & Logical Thinking Topic 1.1"",""isCorrect"":true},{""text"":""Distractor option 1 for Mathematics & Logical Thinking Topic 1.1"",""isCorrect"":false},{""text"":""Distractor option 2 for Mathematics & Logical Thinking Topic 1.1"",""isCorrect"":false},{""text"":""Distractor option 3 for Mathematics & Logical Thinking Topic 1.1"",""isCorrect"":false}]","","","","This question assesses ANALYZE level understanding of Mathematics & Logical Thinking Topic 1.1.","","","","ANALYZE","cmf9r86au000jqjr8gk64tjep","cmesxd4xv0015txcftf28dq2r","cmeuyq4x600bd13isf7pi5psz","7","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y7-MATH_2025"
