questionBankId,title,questionType,difficulty,text,options,correctAnswer,blanks,pairs,explanation,hint,tolerance,unit,bloomsLevel,learningOutcomeIds,subjectId,topicId,gradeLevel,year,createdById,partitionKey
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 1","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Given a short passage, the student will be able to recall the stated main idea with 100% accuracy."" in Reading Comprehension, which of the following best demonstrates understanding of Reading Comprehension?","[{""text"":""Correct answer related to Reading Comprehension"",""isCorrect"":true},{""text"":""Distractor option 1 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 2 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 3 for Reading Comprehension"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Reading Comprehension.","","","","REMEMBER","cmf71e2i9000e1181rkup3tjg","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 2","TRUE_FALSE","EASY","Based on the learning outcome ""After reading a set of instructions, students will be able to explain the steps involved in completing a task to a partner, demonstrating understanding of the process within 10 minutes."" in Reading Comprehension, the following statement about Reading Comprehension is accurate: ""Reading Comprehension concepts are fundamental to understanding this subject.""","","false","","","This question assesses UNDERSTAND level understanding of Reading Comprehension.","","","","UNDERSTAND","cmf71fgar002g1181dvao6tbg","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 3","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Given a reading passage, the student will be able to list five key details from the text with no errors."" in Reading Comprehension, which of the following best demonstrates understanding of Reading Comprehension?","[{""text"":""Correct answer related to Reading Comprehension"",""isCorrect"":true},{""text"":""Distractor option 1 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 2 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 3 for Reading Comprehension"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Reading Comprehension.","","","","REMEMBER","cmf71e2i9000c1181w3r9ncjh","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 4","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Given a list of words, the student will be able to identify the definition of vocabulary words used in the text with 90% accuracy."" in Reading Comprehension, which of the following best demonstrates understanding of Reading Comprehension?","[{""text"":""Correct answer related to Reading Comprehension"",""isCorrect"":true},{""text"":""Distractor option 1 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 2 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 3 for Reading Comprehension"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Reading Comprehension.","","","","REMEMBER","cmf71e2da000a11812qukyl8i","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 5","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Given a reading passage, the student will be able to identify the names of the characters with 100% accuracy."" in Reading Comprehension, which of the following best demonstrates understanding of Reading Comprehension?","[{""text"":""Correct answer related to Reading Comprehension"",""isCorrect"":true},{""text"":""Distractor option 1 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 2 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 3 for Reading Comprehension"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Reading Comprehension.","","","","REMEMBER","cmf71e3xu000k1181bz7ga2kg","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 6","TRUE_FALSE","EASY","Based on the learning outcome ""Given a sentence from a text, the student will be able to define the meaning of unfamiliar words with 80% accuracy."" in Reading Comprehension, the following statement about Reading Comprehension is accurate: ""Reading Comprehension concepts are fundamental to understanding this subject.""","","false","","","This question assesses REMEMBER level understanding of Reading Comprehension.","","","","REMEMBER","cmf71e3x2000g1181zgdrrvaa","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 7","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Given a reading passage, the student will be able to recall the explicit details of the plot with 80% accuracy."" in Reading Comprehension, which of the following best demonstrates understanding of Reading Comprehension?","[{""text"":""Correct answer related to Reading Comprehension"",""isCorrect"":true},{""text"":""Distractor option 1 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 2 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 3 for Reading Comprehension"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Reading Comprehension.","","","","REMEMBER","cmf71e3xq000i1181tsxijost","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 8","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Given a text, the student will be able to label the setting of the story with 100% accuracy."" in Reading Comprehension, which of the following best demonstrates understanding of Reading Comprehension?","[{""text"":""Correct answer related to Reading Comprehension"",""isCorrect"":true},{""text"":""Distractor option 1 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 2 for Reading Comprehension"",""isCorrect"":false},{""text"":""Distractor option 3 for Reading Comprehension"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Reading Comprehension.","","","","REMEMBER","cmf71e3yv000m1181d0llv688","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 9","FILL_IN_THE_BLANKS","EASY","Complete the following statement about Reading Comprehension: ""The key concept in Reading Comprehension is _____ which helps students understand the subject better.""","","","[{""id"":""blank-1"",""correctAnswers"":[""concept related to Reading Comprehension"",""principle of Reading Comprehension""]}]","","This question assesses REMEMBER level understanding of Reading Comprehension.","","","","REMEMBER","cmf71e3yx000q1181fjidcak9","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
"cmf709kvl00011181nki5cn5o","English Language & Communication (Y8) - Reading Comprehension - Question 10","TRUE_FALSE","EASY","Based on the learning outcome ""Given a paragraph, the student will be able to recall the topic sentence with 100% accuracy."" in Reading Comprehension, the following statement about Reading Comprehension is accurate: ""Reading Comprehension concepts are fundamental to understanding this subject.""","","false","","","This question assesses REMEMBER level understanding of Reading Comprehension.","","","","REMEMBER","cmf71e3yx000o1181exfb4lvl","cmesxd5az001dtxcfqsu6wa37","cmev0xiig000112j6rzfqq9ba","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-ENGL_2025"
