questionBankId,title,questionType,difficulty,text,options,correctAnswer,blanks,pairs,explanation,hint,tolerance,unit,bloomsLevel,learningOutcomeIds,subjectId,topicId,gradeLevel,year,createdById,partitionKey
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 1","SHORT_ANSWER","EASY","Based on the learning outcome ""Students will match understand principles of health and fitness related to Introduction."" in Introduction, explain the key concepts of Introduction in 2-3 sentences.","","","","","This question assesses REMEMBER level understanding of Introduction.","Consider the main principles and applications of Introduction.","","","REMEMBER","cmf9raaw200b1qjr87xipba5b","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 2","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will match understand principles of health and fitness related to Introduction."" in Introduction, which of the following best demonstrates understanding of Introduction?","[{""text"":""Correct answer related to Introduction"",""isCorrect"":true},{""text"":""Distractor option 1 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 2 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 3 for Introduction"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Introduction.","","","","REMEMBER","cmf9raaw200b1qjr87xipba5b","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 3","SHORT_ANSWER","EASY","Based on the learning outcome ""Students will match understand principles of health and fitness related to Introduction."" in Introduction, explain the key concepts of Introduction in 2-3 sentences.","","","","","This question assesses REMEMBER level understanding of Introduction.","Consider the main principles and applications of Introduction.","","","REMEMBER","cmf9raaw200b1qjr87xipba5b","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 4","TRUE_FALSE","EASY","Based on the learning outcome ""Students will match understand principles of health and fitness related to Introduction."" in Introduction, the following statement about Introduction is accurate: ""Introduction concepts are fundamental to understanding this subject.""","","false","","","This question assesses REMEMBER level understanding of Introduction.","","","","REMEMBER","cmf9raaw200b1qjr87xipba5b","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 5","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will match understand principles of health and fitness related to Introduction."" in Introduction, which of the following best demonstrates understanding of Introduction?","[{""text"":""Correct answer related to Introduction"",""isCorrect"":true},{""text"":""Distractor option 1 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 2 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 3 for Introduction"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Introduction.","","","","REMEMBER","cmf9raaw200b1qjr87xipba5b","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 6","SHORT_ANSWER","EASY","Based on the learning outcome ""Students will summarize apply movement skills and strategies in various activities related to Introduction."" in Introduction, explain the key concepts of Introduction in 2-3 sentences.","","","","","This question assesses UNDERSTAND level understanding of Introduction.","Consider the main principles and applications of Introduction.","","","UNDERSTAND","cmf9rab4200b3qjr82e1aqaip","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 7","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will summarize apply movement skills and strategies in various activities related to Introduction."" in Introduction, which of the following best demonstrates understanding of Introduction?","[{""text"":""Correct answer related to Introduction"",""isCorrect"":true},{""text"":""Distractor option 1 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 2 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 3 for Introduction"",""isCorrect"":false}]","","","","This question assesses UNDERSTAND level understanding of Introduction.","","","","UNDERSTAND","cmf9rab4200b3qjr82e1aqaip","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 8","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will summarize apply movement skills and strategies in various activities related to Introduction."" in Introduction, which of the following best demonstrates understanding of Introduction?","[{""text"":""Correct answer related to Introduction"",""isCorrect"":true},{""text"":""Distractor option 1 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 2 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 3 for Introduction"",""isCorrect"":false}]","","","","This question assesses UNDERSTAND level understanding of Introduction.","","","","UNDERSTAND","cmf9rab4200b3qjr82e1aqaip","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 9","TRUE_FALSE","EASY","Based on the learning outcome ""Students will summarize apply movement skills and strategies in various activities related to Introduction."" in Introduction, the following statement about Introduction is accurate: ""Introduction concepts are fundamental to understanding this subject.""","","false","","","This question assesses UNDERSTAND level understanding of Introduction.","","","","UNDERSTAND","cmf9rab4200b3qjr82e1aqaip","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
"cmf709kvl00011181nki5cn5o","Physical Education & Wellbeing (Y8) - Introduction - Question 10","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will summarize apply movement skills and strategies in various activities related to Introduction."" in Introduction, which of the following best demonstrates understanding of Introduction?","[{""text"":""Correct answer related to Introduction"",""isCorrect"":true},{""text"":""Distractor option 1 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 2 for Introduction"",""isCorrect"":false},{""text"":""Distractor option 3 for Introduction"",""isCorrect"":false}]","","","","This question assesses UNDERSTAND level understanding of Introduction.","","","","UNDERSTAND","cmf9rab4200b3qjr82e1aqaip","cmesxd5ld001jtxcf6rsg2gdu","cmev1pvul001v6vwijmw8tuzs","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-PE_2025"
