questionBankId,title,questionType,difficulty,text,options,correctAnswer,blanks,pairs,explanation,hint,tolerance,unit,bloomsLevel,learningOutcomeIds,subjectId,topicId,gradeLevel,year,createdById,partitionKey
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 1","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will identify understand scientific concepts and principles related to Scientific Method."" in Scientific Method, which of the following best demonstrates understanding of Scientific Method?","[{""text"":""Correct answer related to Scientific Method"",""isCorrect"":true},{""text"":""Distractor option 1 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 2 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 3 for Scientific Method"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Scientific Method.","","","","REMEMBER","cmf9ra1zd00a1qjr8crim8duo","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 2","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will identify understand scientific concepts and principles related to Scientific Method."" in Scientific Method, which of the following best demonstrates understanding of Scientific Method?","[{""text"":""Correct answer related to Scientific Method"",""isCorrect"":true},{""text"":""Distractor option 1 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 2 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 3 for Scientific Method"",""isCorrect"":false}]","","","","This question assesses REMEMBER level understanding of Scientific Method.","","","","REMEMBER","cmf9ra1zd00a1qjr8crim8duo","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 3","FILL_IN_THE_BLANKS","EASY","Complete the following statement about Scientific Method: ""The key concept in Scientific Method is _____ which helps students understand the subject better.""","","","[{""id"":""blank-1"",""correctAnswers"":[""concept related to Scientific Method"",""principle of Scientific Method""]}]","","This question assesses REMEMBER level understanding of Scientific Method.","","","","REMEMBER","cmf9ra1zd00a1qjr8crim8duo","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 4","FILL_IN_THE_BLANKS","EASY","Complete the following statement about Scientific Method: ""The key concept in Scientific Method is _____ which helps students understand the subject better.""","","","[{""id"":""blank-1"",""correctAnswers"":[""concept related to Scientific Method"",""principle of Scientific Method""]}]","","This question assesses REMEMBER level understanding of Scientific Method.","","","","REMEMBER","cmf9ra1zd00a1qjr8crim8duo","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 5","FILL_IN_THE_BLANKS","EASY","Complete the following statement about Scientific Method: ""The key concept in Scientific Method is _____ which helps students understand the subject better.""","","","[{""id"":""blank-1"",""correctAnswers"":[""concept related to Scientific Method"",""principle of Scientific Method""]}]","","This question assesses REMEMBER level understanding of Scientific Method.","","","","REMEMBER","cmf9ra1zd00a1qjr8crim8duo","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 6","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will translate apply scientific methods and processes related to Scientific Method."" in Scientific Method, which of the following best demonstrates understanding of Scientific Method?","[{""text"":""Correct answer related to Scientific Method"",""isCorrect"":true},{""text"":""Distractor option 1 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 2 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 3 for Scientific Method"",""isCorrect"":false}]","","","","This question assesses UNDERSTAND level understanding of Scientific Method.","","","","UNDERSTAND","cmf9ra27600a3qjr81aijb9vd","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 7","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will translate apply scientific methods and processes related to Scientific Method."" in Scientific Method, which of the following best demonstrates understanding of Scientific Method?","[{""text"":""Correct answer related to Scientific Method"",""isCorrect"":true},{""text"":""Distractor option 1 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 2 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 3 for Scientific Method"",""isCorrect"":false}]","","","","This question assesses UNDERSTAND level understanding of Scientific Method.","","","","UNDERSTAND","cmf9ra27600a3qjr81aijb9vd","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 8","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will translate apply scientific methods and processes related to Scientific Method."" in Scientific Method, which of the following best demonstrates understanding of Scientific Method?","[{""text"":""Correct answer related to Scientific Method"",""isCorrect"":true},{""text"":""Distractor option 1 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 2 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 3 for Scientific Method"",""isCorrect"":false}]","","","","This question assesses UNDERSTAND level understanding of Scientific Method.","","","","UNDERSTAND","cmf9ra27600a3qjr81aijb9vd","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 9","MULTIPLE_CHOICE","EASY","Based on the learning outcome ""Students will translate apply scientific methods and processes related to Scientific Method."" in Scientific Method, which of the following best demonstrates understanding of Scientific Method?","[{""text"":""Correct answer related to Scientific Method"",""isCorrect"":true},{""text"":""Distractor option 1 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 2 for Scientific Method"",""isCorrect"":false},{""text"":""Distractor option 3 for Scientific Method"",""isCorrect"":false}]","","","","This question assesses UNDERSTAND level understanding of Scientific Method.","","","","UNDERSTAND","cmf9ra27600a3qjr81aijb9vd","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
"cmf709kvl00011181nki5cn5o","Integrated Science & Inquiry (Y8) - Scientific Method - Question 10","TRUE_FALSE","EASY","Based on the learning outcome ""Students will translate apply scientific methods and processes related to Scientific Method."" in Scientific Method, the following statement about Scientific Method is accurate: ""Scientific Method concepts are fundamental to understanding this subject.""","","false","","","This question assesses UNDERSTAND level understanding of Scientific Method.","","","","UNDERSTAND","cmf9ra27600a3qjr81aijb9vd","cmesxd5h6001htxcfbvidnh6t","cmev1pvcl001j6vwij7cnaep7","8","2025","cmesy1aa705usd9o9sko65ikk","MYP-Y8-SCI_2025"
